TIMESTAMP,RECORD,BattV_Avg,PanelTemp_Avg,Plot_12__Plant,Plot_12__Air,Plot_11__Plant,Plot_11__Air,Plot_9__Plant,Plot_7__Plant,Plot_8__Plant,Plot_8__Air,Plot_10__Plant,Plot_5__Plant,Plot_5__Air,Plot_6__Plant,Plot_1__Plant,Plot_1__Air,Plot_2__Plant,Plot_2__Air,Plot_3__Plant,Plot_3__Air,Plot_4__Plant,Plot_4__Air
2/19/25 16:30,0,12.46,32.43,29.07,29.05,28.47,28.29,28.08,29.02,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2/19/25 17:00,1,12.45,31.35,28.35,28.25,27.6,27.41,27.12,28.04,27.29,27.33,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2/19/25 17:30,2,12.45,31.87,29.99,30.02,29.43,28.79,28.69,29.95,28.17,28.13,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2/19/25 18:00,3,12.46,29.82,28.23,28.36,27.75,27.37,27.55,28.51,27.14,27.11,27.73,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2/19/25 18:30,4,12.46,27.63,26.02,26.06,25.73,25.66,25.5,26.02,25.54,25.56,25.57,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2/19/25 19:00,5,12.46,25.81,24.66,24.67,24.7,24.53,24.44,24.85,24.34,24.37,24.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2/19/25 19:30,6,12.46,24.56,23.74,23.73,23.83,23.7,23.63,23.79,23.55,23.57,23.58,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2/19/25 20:00,7,12.46,23.59,22.95,22.94,22.79,22.87,22.75,22.7,22.86,22.88,22.87,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2/19/25 20:30,8,12.46,22.86,22.33,22.33,22.2,22.26,22.14,22.15,22.27,22.28,22.27,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2/19/25 21:00,9,12.45,22.24,21.59,21.59,21.47,21.51,21.37,21.42,21.54,21.55,21.53,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
