Time,Year,Day,HourMin,BattV,ProgSig,AirTC_avg,RH,WS_ms,Wind_dir,Rain_mm_Tot,WP_8T,Temp_8T,WP_7C,Temp_7C,WP_10T,Temp_10T,WP_5T,Temp_5T,WP_6C,Temp_6C,WP_9C,Temp_9C,Slrkw_avg,SLRMH_Tot,LW,WP_2T,Temp_2T,WP_1T,Temp_1T,WP_3C,Temp_3C,WP_4C,Temp_4C,WP_11T,Temp_11T,WP_12C,Temp_12C,WV_8T,WV_7C,DateR,hours,minutes,datetime,VPD,Sol_W_m2,PAR,DLI,SM_T,SM_C,Temp_T,Temp_C
114942,2024,284,30,12.19,1948,14.86,80.1,0.32,200.6,0,-0.7035031145304449,22.72,-0.5036933839992642,22.62,-0.7823739083960943,22.55,-0.7104811829901816,23.72,-0.7518551453638371,23.26,-0.7583750296362815,22.75,0,0,-101,-0.7911271790609338,23.56,-2.426221959841785,25.78,-0.49125071941352266,23.83,-1.1305949368208794,23.36,-0.9398229416881707,22.88,-1.0996622737655506,22.43,-585.3,-721,2024-10-10,0,30,2024-10-09T22:30:00Z,0.3367919065810083,0,0,0,-0.785461665333165,-0.727153843046757,23.535,23.041666666666668
114943,2024,284,100,12.18,1948,14.61,82.8,0.567,255,0,-0.7093632693642613,22.38,-0.49839372023291634,22.26,-0.779519846316195,22.2,-0.7066315989508306,23.32,-0.7530748776980445,23,-0.7572131805403468,22.48,0,0,-101,-0.7923235488833082,23.21,-2.6260509382931625,25.4,-0.514540633112755,23.43,-1.1464619179917697,22.96,-0.9667267918820264,22.54,-1.1047898220715884,22.11,-579.1,-716,2024-10-10,1,0,2024-10-09T23:00:00Z,0.28643007053880654,0,0,0,-0.7909130110793242,-0.7339368659151664,23.175,22.706666666666667
114944,2024,284,130,12.17,1948,13.25,86,0.789,278.2,0,-0.7222970348703852,22.06,-0.49429719095654834,21.92,-0.7813016737112207,21.86,-0.7080403235449408,22.97,-0.7532840942219222,22.74,-0.7543141369078138,22.21,0,0,-101,-0.794411878485815,22.92,-2.8261491086719293,24.9,-0.5290541577212594,23.09,-1.1610701130773287,22.59,-0.9742578893532133,22.21,-1.1184506149981877,21.82,-573,-711,2024-10-10,1,30,2024-10-09T23:30:00Z,0.21340090953030488,0,0,0,-0.796061759993115,-0.7384039385769745,22.820000000000004,22.395
114945,2024,284,200,12.17,1948,13.62,85.2,0.662,207.2,0,-0.7261319737530648,21.76,-0.48903888232308684,21.59,-0.7875049436441968,21.55,-0.7097098714054855,22.64,-0.7544131660624492,22.49,-0.7511835603221895,21.96,0,0,-101,-0.8107586628847983,22.64,-2.9859832103362125,24.39,-0.5356136187861373,22.78,-1.170749515554534,22.25,-0.9805141608055716,21.9,-1.142934178704984,21.55,-568.4,-707,2024-10-10,2,0,2024-10-10T00:00:00Z,0.2311125978237918,0,0,0,-0.8029239224986234,-0.7401997486096794,22.48,22.103333333333335
114946,2024,284,230,12.16,1948,14.11,84.4,0.275,203,0,-0.7216951886700301,21.47,-0.4846882944478899,21.28,-0.7939516021332839,21.24,-0.7119903315157532,22.34,-0.7610111578371412,22.27,-0.7475180868238508,21.72,0,0,-101,-0.8244905894295159,22.37,-3.183090630506147,24.01,-0.544629107494237,22.48,-1.1786087342740024,21.92,-0.997209639411018,21.6,-1.1657154172958282,21.28,-567.1,-706,2024-10-10,2,30,2024-10-10T00:30:00Z,0.2514992391713806,0,0,0,-0.8098674702319203,-0.7432910761754243,22.171666666666667,21.825
114947,2024,284,300,12.15,1948,14.08,82.6,0.284,223.2,0,-0.7177939978881227,21.2,-0.48204533184058324,21,-0.7959098687967798,20.96,-0.7127431623075069,22.05,-0.7685220310443535,22.04,-0.7425997550416908,21.49,0,0,-101,-0.8283886419635653,22.12,-3.3174432056447363,23.69,-0.5589010218870831,22.2,-1.1742068186116141,21.6,-1.0155063218125422,21.32,-1.1747528737389352,21.03,-566.3,-706,2024-10-10,3,0,2024-10-10T01:00:00Z,0.2799721839593978,0,0,0,-0.8140683985537034,-0.745254991685065,21.89,21.560000000000002
114948,2024,284,330,12.14,1948,14.09,84.9,0.111,260,0,-0.7159040752890935,20.95,-0.4780745416950657,20.72,-0.7932549111087708,20.7,-0.7085724309040035,21.78,-0.7729713691188207,21.84,-0.736480869106679,21.27,0,0,-101,-0.8262671864114445,21.88,-3.4351139012519316,23.35,-0.5689266777113061,21.93,-1.1616119838741723,21.3,-1.0229495483437003,21.06,-1.1823694012907053,20.79,-564.9,-705,2024-10-10,3,30,2024-10-10T01:30:00Z,0.24312227614901638,0,0,0,-0.8133896304114024,-0.7436130883012086,21.62,21.308333333333334
114949,2024,284,400,12.14,1948,13.54,84.9,0.012,197.4,0,-0.7127578074641782,20.71,-0.4735737363557245,20.46,-0.7868549776433498,20.44,-0.7035386813395041,21.51,-0.7749477678810528,21.64,-0.7306782488169288,21.06,0,0,-101,-0.8273955608635587,21.65,-3.576752441834565,23.03,-0.5873879437782809,21.68,-1.1470749224067318,21.02,-1.0211998008156693,20.8,-1.1892236833071477,20.57,-560.8,-702,2024-10-10,4,0,2024-10-10T02:00:00Z,0.23457003578091284,0,0,0,-0.8103493656252521,-0.7427325238477438,21.35666666666667,21.07166666666667
114950,2024,284,430,12.13,1948,13.55,85.6,0.017,67.33,0,-0.7098409804271156,20.48,-0.4700209608249147,20.2,-0.7811377874341832,20.2,-0.6990684216126491,21.26,-0.7722711911522431,21.44,-0.7241193107933608,20.85,0,0,-101,-0.8290623191704517,21.42,-3.669592971693739,22.71,-0.607515619457942,21.43,-1.13306438919105,20.75,-1.0153748640967057,20.55,-1.198741989060967,20.33,-556,-697.6,2024-10-10,4,30,2024-10-10T02:30:00Z,0.223841932436744,0,0,0,-0.8068968745482211,-0.741398294283902,21.10333333333333,20.833333333333332
114951,2024,284,500,12.12,1948,13.12,88,0,122.7,0,-0.7057570738810215,20.24,-0.4667523710723722,19.94,-0.7731694274280918,19.94,-0.6941804262264514,21,-0.768770301319355,21.24,-0.7175457276131211,20.64,0,0,-101,-0.8301572189787453,21.2,-3.7607587232792725,22.39,-0.6110562604303669,21.19,-1.117774845626062,20.47,-1.0093930149848336,20.3,-1.2095114096275756,20.12,-553,-695.4,2024-10-10,5,0,2024-10-10T03:00:00Z,0.18136574110498316,0,0,0,-0.8025314322998287,-0.7363799012122556,20.845,20.6
114952,2024,284,530,12.11,1948,12.55,86.5,0.007,60.32,0,-0.700528055560903,20.01,-0.46203879252824726,19.68,-0.7666111867929365,19.7,-0.6913713456991858,20.74,-0.7648293593979109,21.05,-0.71060950245816,20.42,0,0,-101,-0.8321189725843059,20.97,-3.8548144524479704,22.11,-0.6153866937804303,20.96,-1.1016226325942853,20.2,-1.0037546296663276,20.06,-1.215798017475896,19.89,-549.4,-692.4,2024-10-10,5,30,2024-10-10T03:30:00Z,0.1965464990857113,0,0,0,-0.7988768380607318,-0.7308973961518068,20.598333333333333,20.36666666666667
114953,2024,284,600,12.1,1948,11.79,82.4,0.084,15.64,0,-0.6942062295977295,19.79,-0.45891414374413286,19.42,-0.7577466826762354,19.42,-0.6898043139353413,20.5,-0.7615627920717657,20.86,-0.7036495660971593,20.22,0.001,0.00147,-101,-0.8313480096938164,20.75,-3.9497569109837043,21.8,-0.6112302588393919,20.72,-1.0834232358763642,19.93,-1.0000389442022584,19.82,-1.2338418965777347,19.68,-543.8,-687.6,2024-10-10,6,0,2024-10-10T04:00:00Z,0.24371016119964217,1,2.3,0.19872,-0.7946288360210761,-0.7237559993257628,20.346666666666668,20.138333333333335
114954,2024,284,630,12.09,1948,11.15,79.2,0.037,104.6,0,-0.6861381430485897,19.56,-0.4538804987878955,19.19,-0.7497197420434579,19.18,-0.685967282887423,20.26,-0.7589507237711518,20.67,-0.6973877155374976,20.02,0.021,0.0376,-101,-0.8257992387863713,20.54,-4.023227128979655,21.49,-0.6087322135442912,20.49,-1.064343037592918,19.68,-0.995948063772035,19.59,-1.237055462384497,19.45,-535.7,-680.4,2024-10-10,6,30,2024-10-10T04:30:00Z,0.2760510391011948,21,48.3,4.17312,-0.7887144941075753,-0.7166588378467509,20.10333333333333,19.916666666666664
114955,2024,284,700,12.19,1948,12.24,72.8,0.313,51.32,0,-0.6770176973843446,19.3,-0.4481270443812567,18.93,-0.7419278213058367,18.93,-0.6823868907754613,20.01,-0.7551994714980231,20.49,-0.6904208052923677,19.82,0.137,0.24688,-101,-0.8247482744480921,20.32,-4.109108768560449,21.21,-0.597955470399347,20.27,-1.0386575249564434,19.38,-0.9903054941230515,19.32,-1.2452135120389043,19.22,-532.5,-677.6,2024-10-10,7,0,2024-10-10T05:00:00Z,0.3880039319681492,137,315.09999999999997,27.224639999999994,-0.7832772356073574,-0.7060720633054876,19.848333333333333,19.685
114956,2024,284,730,12.74,1948,12.8,70,0.778,45.32,0,-0.6673379462129331,19.1,-0.44213612922001677,18.71,-0.7326529041081286,18.71,-0.681094978740516,19.79,-0.7506898093258378,20.31,-0.6834657506502577,19.64,0.182,0.32732,-101,-0.8079035547222795,20.2,NA,20.99,-0.5777709575640324,20.06,-1.0065814935981228,19.13,-0.9810267412890723,19.1,-1.2342310393121472,19.03,-545.9,-690.3,2024-10-10,7,30,2024-10-10T05:30:00Z,0.4440027601442935,182,418.59999999999997,36.16703999999999,-0.7740032250145858,-0.6921288280716535,19.64833333333333,19.48
114957,2024,284,800,13.4,1948,12.35,70.2,1.378,24.61,0,-0.6551434124245106,18.94,-0.44576300226969984,18.6,-0.7247127883327606,18.59,-0.6776509260632815,19.67,-0.7458485389633062,20.16,-0.6731165066024372,19.44,0.205,0.36977,-101,-0.78888577270179,20.2,NA,20.89,-0.5450027682058827,19.86,-0.9500354976070576,18.96,-0.9721482894041125,18.94,-1.1975574748416122,18.86,-559.1,-703,2024-10-10,8,0,2024-10-10T06:00:00Z,0.4281849262788058,205,471.49999999999994,40.73759999999999,-0.7637082377852911,-0.6719532627296767,19.538333333333334,19.313333333333336
